time,open,high,low,upstop,downstop,volume,money,close
2016/5/4,7.6032,7.8166,7.5498,8.3768,6.8562,596361516.9,68602726,7.661
2016/5/5,7.5854,7.6165,7.5053,8.4257,6.8962,402662668.8,47381748,7.5854
2016/5/6,7.5898,7.6209,7.3097,8.3457,6.8251,464427469.7,55395822,7.3186
2016/5/9,7.2875,7.2875,7.074,8.0522,6.585,290369644.8,36230198,7.1096
2016/5/10,7.1096,7.2474,7.0696,7.821,6.3982,238525360.4,29577654,7.1941
2016/5/11,7.2297,7.9144,7.2297,7.9144,6.4738,1209367973,139772922,7.8121
2016/5/12,7.6965,7.8166,7.5231,8.5947,7.0296,656937681.6,76096416,7.7365
2016/5/13,7.6832,7.9589,7.6343,8.5102,6.9629,474295457.2,54213082,7.6965
2016/5/16,7.7188,8.11,7.7188,8.4657,6.9273,702076192.7,78450324,8.0389
2016/5/17,8.0478,8.0878,7.8744,8.8437,7.2341,451476397.6,50435180,7.8833
2016/5/18,7.8788,7.8833,7.6032,8.6703,7.0963,388427216.3,44952760,7.6965
2016/5/19,7.6965,7.8032,7.6476,8.4657,6.9273,284221815.3,32769170,7.6743
2016/5/20,7.5809,7.7721,7.5587,8.4435,6.9051,252328625,29169472,7.7588
2016/5/23,7.781,7.9277,7.7588,8.5369,6.9851,310006702,35178550,7.8344
2016/5/24,7.8299,7.8299,7.5898,8.6169,7.0518,251273267.8,29163918,7.6254
2016/5/25,7.7188,7.7454,7.4653,8.3901,6.8606,331258372.8,38627124,7.5365
2016/5/26,7.5276,7.6032,7.3675,8.2923,6.7806,304927538.6,36329516,7.5676
2016/5/27,7.5454,7.5454,7.3808,8.3235,6.8117,263213222.3,31324702,7.4698
2016/5/30,7.4431,7.5053,7.3408,8.2167,6.7228,164697561.8,19715974,7.412
2016/5/31,7.412,7.6654,7.4075,8.1545,6.6694,437171152.9,51291966,7.6521
2016/6/1,7.6698,7.7321,7.6387,8.4168,6.8873,359269641.5,41630358,7.6476
2016/6/2,7.6565,7.7232,7.6254,8.4124,6.8829,302842163.2,35090382,7.701
2016/6/3,7.7276,7.8521,7.6698,8.4702,6.9318,515957301.9,59004102,7.8388
2016/6/6,7.8388,7.8566,7.7232,8.6214,7.0563,364318806.2,41602710,7.7766
2016/6/7,7.7588,7.8077,7.6921,8.5547,6.9985,234751864.3,26974148,7.7365
2016/6/8,7.741,7.7588,7.6165,8.5102,6.9629,301650827.1,34947318,7.6476
2016/6/13,7.5587,7.7099,7.4787,8.4124,6.8829,325317165.4,38153574,7.4787
2016/6/14,7.4698,7.5276,7.4209,8.2256,6.7317,211969969.3,25240312,7.4742
2016/6/15,7.3986,7.6565,7.3719,8.2212,6.7272,308927326.5,36243408,7.6298
2016/6/16,7.6209,7.6476,7.5231,8.3946,6.8651,212480919.9,24924062,7.5409
2016/6/17,7.5676,7.701,7.5631,8.2968,6.785,275230682.6,32057008,7.6298
2016/6/20,7.6209,7.7454,7.5987,8.3946,6.8651,227394788.4,26332738,7.6921
2016/6/21,7.8032,7.9766,7.7677,8.4613,6.9229,552765091.2,62298842,7.8388
2016/6/22,7.8388,7.9322,7.7854,8.6214,7.0563,282001320.8,31800884,7.9144
2016/6/23,7.9366,7.9411,7.7588,8.7058,7.123,313964743.8,35582930,7.8077
2016/6/24,7.7766,7.8833,7.5231,8.5902,7.0251,391828399.3,45139180,7.7143
2016/6/27,7.6921,7.8877,7.6565,8.488,6.9451,378415197.3,43151520,7.8433
2016/6/28,7.7285,7.7928,7.5909,8.6372,7.0677,340939144,40832332,7.6918
